"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1310","Check display of empty courses list","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","1268","Check display of dashboard page","LMS system","2026-09-24","passed","2026-09-24","Dashboard","Dashboard","",""
"","1577","Create course","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","1402","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1556","Registration with correct email, username and password","LMS system","2026-09-24","passed","2026-09-24","Registration","Authentication","",""
"","1275","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1576","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","4553","User login with correct email and password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1547","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1876","Check display of dashboard page","LMS system","2026-09-24","passed","2026-09-24","Dashboard","Dashboard","",""
"
JSON.parse(JSON.parse(localStorage.getItem(""persist:courses"")).course).id
","3090","Edit course","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","1205","Navigation from login page to registration page","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"
JSON.parse(JSON.parse(localStorage.getItem(""persist:courses"")).course).id
","2601","Edit course","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","1587","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1154","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1214","Check display of empty courses list","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","1330","Navigation from login page to registration page","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","2099","User login with correct email and password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1510","Registration with correct email, username and password","LMS system","2026-09-24","passed","2026-09-24","Registration","Authentication","",""
"","1986","Create course","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
