"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1320","Check display of empty courses list","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","2051","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","2116","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1670","Navigation from login page to registration page","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1961","Registration with correct email, username and password","LMS system","2026-09-23","passed","2026-09-23","Registration","Authentication","",""
"","2525","Create course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1534","Check display of empty courses list","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1238","Check display of dashboard page","LMS system","2026-09-23","passed","2026-09-23","Dashboard","Dashboard","",""
"
JSON.parse(JSON.parse(localStorage.getItem(""persist:courses"")).course).id
","4425","Edit course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1481","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","3155","User login with correct email and password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","2007","Registration with correct email, username and password","LMS system","2026-09-23","passed","2026-09-23","Registration","Authentication","",""
"","2376","Create course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","2010","Check display of dashboard page","LMS system","2026-09-23","passed","2026-09-23","Dashboard","Dashboard","",""
"","8167","User login with correct email and password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1280","Navigation from login page to registration page","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1702","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1338","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"
JSON.parse(JSON.parse(localStorage.getItem(""persist:courses"")).course).id
","3225","Edit course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1588","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
