"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1473","Check display of empty courses list","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","1283","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"
JSON.parse(JSON.parse(localStorage.getItem(""persist:courses"")).course).id
","3311","Edit course","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","2235","User login with correct email and password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","5689","User login with correct email and password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1918","Create course","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","1311","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1653","Check display of dashboard page","LMS system","2026-09-24","passed","2026-09-24","Dashboard","Dashboard","",""
"","1295","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1846","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1789","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1978","Registration with correct email, username and password","LMS system","2026-09-24","passed","2026-09-24","Registration","Authentication","",""
"","1129","Navigation from login page to registration page","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1969","Create course","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","1583","Registration with correct email, username and password","LMS system","2026-09-24","passed","2026-09-24","Registration","Authentication","",""
"","1255","Check display of dashboard page","LMS system","2026-09-24","passed","2026-09-24","Dashboard","Dashboard","",""
"","1022","Check display of empty courses list","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","1556","Navigation from login page to registration page","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1598","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"
JSON.parse(JSON.parse(localStorage.getItem(""persist:courses"")).course).id
","2680","Edit course","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
