"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
JSON.parse(JSON.parse(localStorage.getItem(""persist:courses"")).course).id
","4574","Edit course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","2315","Create course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","2299","Registration with correct email, username and password","LMS system","2026-09-26","passed","2026-09-26","Registration","Authentication","",""
"","2029","User login with wrong email or password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","8774","User login with correct email and password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1933","User login with wrong email or password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1553","User login with wrong email or password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1619","Navigation from login page to registration page","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1290","User login with wrong email or password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1295","Navigation from login page to registration page","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1315","User login with wrong email or password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1255","Check display of dashboard page","LMS system","2026-09-26","passed","2026-09-26","Dashboard","Dashboard","",""
"
JSON.parse(JSON.parse(localStorage.getItem(""persist:courses"")).course).id
","3253","Edit course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1109","Check display of empty courses list","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","2515","Create course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","3293","User login with correct email and password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1712","Check display of empty courses list","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1515","User login with wrong email or password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1982","Check display of dashboard page","LMS system","2026-09-26","passed","2026-09-26","Dashboard","Dashboard","",""
"","2077","Registration with correct email, username and password","LMS system","2026-09-26","passed","2026-09-26","Registration","Authentication","",""
