"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7250","User login with correct email and password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1427","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1909","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","2056","Check display of dashboard page","LMS system","2026-09-23","passed","2026-09-23","Dashboard","Dashboard","",""
"","1228","Check display of empty courses list","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"
JSON.parse(JSON.parse(localStorage.getItem(""persist:courses"")).course).id
","2902","Edit course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1379","Navigation from login page to registration page","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","2798","User login with correct email and password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","2055","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1191","Check display of dashboard page","LMS system","2026-09-23","passed","2026-09-23","Dashboard","Dashboard","",""
"","1497","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1756","Registration with correct email, username and password","LMS system","2026-09-23","passed","2026-09-23","Registration","Authentication","",""
"","1798","Check display of empty courses list","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1656","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"
JSON.parse(JSON.parse(localStorage.getItem(""persist:courses"")).course).id
","4220","Edit course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1779","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1677","Navigation from login page to registration page","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","2325","Create course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","2216","Registration with correct email, username and password","LMS system","2026-09-23","passed","2026-09-23","Registration","Authentication","",""
"","2331","Create course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
